Variables,R-squared,Adj. R-squared,P-value,AIC,BIC,Coefficients
"PI, PPIACO, NASDAQCOM, REVOLSL",0.7375518802639618,0.735160553432654,4.919740257644727e-126,4452.518208968337,4472.997331780498,"const: 3.3449, PI: 0.0003, PPIACO: 0.3111, NASDAQCOM: 0.0081, REVOLSL: 0.0704"
"PI, PPIACO, NASDAQCOM, SP500",0.7221624480277253,0.7196308985792308,1.3029049925831288e-120,4477.818738256814,4498.297861068975,"const: 4.4632, PI: 0.0044, PPIACO: 0.3749, NASDAQCOM: 0.0045, SP500: 0.0050"
"PI, PPIACO, NASDAQCOM, DJIA",0.7220213135305509,0.7194884781185286,1.4562641140357452e-120,4478.044221838467,4498.523344650628,"const: 4.0829, PI: 0.0043, PPIACO: 0.3807, NASDAQCOM: 0.0047, DJIA: 0.0006"
"PI, PPIACO, REVOLSL, SP500",0.7567096474681321,0.7544928788801424,3.001812060950439e-133,4418.863973800066,4439.343096612227,"const: -6.4619, PI: -0.0080, PPIACO: 0.6675, REVOLSL: 0.1399, SP500: 0.0304"
"PI, PPIACO, REVOLSL, DJIA",0.7511028200225979,0.7488349641685896,4.427360776966112e-131,4428.98019541881,4449.459318230971,"const: -8.3384, PI: -0.0071, PPIACO: 0.6683, REVOLSL: 0.1296, DJIA: 0.0034"
"PI, PPIACO, SP500, DJIA",0.7165644839732968,0.7139819280186115,1.0307521377945925e-118,4486.675669406019,4507.15479221818,"const: 6.0237, PI: 0.0066, PPIACO: 0.2861, SP500: 0.0377, DJIA: -0.0033"
"PI, NASDAQCOM, REVOLSL, SP500",0.7482602390792013,0.7459664827154582,5.3339246343939324e-130,4434.022250445053,4454.501373257214,"const: 34.4539, PI: -0.0007, NASDAQCOM: 0.0033, REVOLSL: 0.1159, SP500: 0.0174"
"PI, NASDAQCOM, REVOLSL, DJIA",0.7453767830490655,0.7430567537374397,6.472438394426664e-129,4439.078972092334,4459.558094904495,"const: 33.3868, PI: -0.0001, NASDAQCOM: 0.0041, REVOLSL: 0.1076, DJIA: 0.0018"
"PI, NASDAQCOM, SP500, DJIA",0.7188528517654019,0.7162911465423076,1.7448639764896137e-119,4483.0764059924295,4503.555528804591,"const: 26.1638, PI: 0.0083, NASDAQCOM: 0.0039, SP500: 0.0247, DJIA: -0.0026"
"PI, REVOLSL, SP500, DJIA",0.7510602712852447,0.7487920277434246,4.596372691209921e-131,4429.056090311699,4449.535213123861,"const: 31.9154, PI: -0.0006, REVOLSL: 0.1291, SP500: 0.0853, DJIA: -0.0075"
"TTLCONS, CPIAUCSL, PCESV, RSAFS",0.7226214890903491,0.7200941222483477,9.068952888782514e-121,4477.084558207385,4497.5636810195465,"const: -31.5124, TTLCONS: 0.0001, CPIAUCSL: 0.5144, PCESV: 0.0095, RSAFS: -0.0003"
"TTLCONS, CPIAUCSL, PCESV, PPIACO",0.7309605615641026,0.7285091771592197,1.12882705963109e-123,4463.5314321625065,4484.010554974668,"const: 43.3585, TTLCONS: 0.0001, CPIAUCSL: -1.1571, PCESV: 0.0088, PPIACO: 1.1610"
"TTLCONS, CPIAUCSL, PCESV, NASDAQCOM",0.7325335298073168,0.7300964776871102,3.1230300320842987e-124,4460.927919731861,4481.407042544022,"const: 22.7160, TTLCONS: 0.0000, CPIAUCSL: 0.1343, PCESV: 0.0040, NASDAQCOM: 0.0059"
"TTLCONS, CPIAUCSL, PCESV, REVOLSL",0.7104978663826049,0.7078600337300547,1.0674226658661944e-116,4496.078713125171,4516.557835937332,"const: 13.8040, TTLCONS: 0.0001, CPIAUCSL: 0.1220, PCESV: 0.0096, REVOLSL: -0.0305"
"TTLCONS, CPIAUCSL, PCESV, SP500",0.7383651050871582,0.735981188049228,2.4921598817509708e-126,4451.140289435729,4471.61941224789,"const: 33.9751, TTLCONS: 0.0001, CPIAUCSL: 0.0404, PCESV: 0.0063, SP500: 0.0133"
"TTLCONS, CPIAUCSL, PCESV, DJIA",0.7362520062068192,0.7338488354205488,1.4526525911307082e-125,4454.711859740519,4475.19098255268,"const: 33.2366, TTLCONS: 0.0001, CPIAUCSL: 0.0457, PCESV: 0.0060, DJIA: 0.0015"
"TTLCONS, CPIAUCSL, RSAFS, PPIACO",0.7250096120832752,0.7225040049040795,1.363618905613161e-121,4473.245336927132,4493.724459739293,"const: -39.0507, TTLCONS: 0.0001, CPIAUCSL: -0.2914, RSAFS: -0.0003, PPIACO: 1.1851"
"TTLCONS, CPIAUCSL, RSAFS, NASDAQCOM",0.7450904192850081,0.7427677807363522,8.28042644602596e-129,4439.578039179715,4460.0571619918765,"const: -39.2848, TTLCONS: 0.0001, CPIAUCSL: 0.8024, RSAFS: -0.0003, NASDAQCOM: 0.0073"
"TTLCONS, CPIAUCSL, RSAFS, REVOLSL",0.7017813279382257,0.6990640735230842,7.093199754350845e-114,4509.249684204382,4529.728807016543,"const: -67.2839, TTLCONS: 0.0001, CPIAUCSL: 0.9564, RSAFS: -0.0002, REVOLSL: -0.0050"
"TTLCONS, CPIAUCSL, RSAFS, SP500",0.7449038756334121,0.7425795373703907,9.720311419984044e-129,4439.902840977723,4460.381963789884,"const: -38.3173, TTLCONS: 0.0001, CPIAUCSL: 0.8307, RSAFS: -0.0003, SP500: 0.0157"
"TTLCONS, CPIAUCSL, RSAFS, DJIA",0.7431547993419961,0.7408145241651578,4.345626977848709e-128,4442.93675465932,4463.4158774714815,"const: -36.8443, TTLCONS: 0.0001, CPIAUCSL: 0.8129, RSAFS: -0.0003, DJIA: 0.0018"
"TTLCONS, CPIAUCSL, PPIACO, NASDAQCOM",0.7452364990144165,0.742915191488352,7.302856098057077e-129,4439.323525437624,4459.802648249785,"const: 32.0306, TTLCONS: 0.0001, CPIAUCSL: -0.7134, PPIACO: 0.9829, NASDAQCOM: 0.0063"
"TTLCONS, CPIAUCSL, PPIACO, REVOLSL",0.7135844862927145,0.710974777739573,1.0194921319940435e-117,4491.319448086531,4511.798570898693,"const: 8.1522, TTLCONS: 0.0001, CPIAUCSL: -0.7864, PPIACO: 1.1845, REVOLSL: 0.0178"
"TTLCONS, CPIAUCSL, PPIACO, SP500",0.7476821158715055,0.7453830918703347,8.818266890992095e-130,4435.040732435327,4455.5198552474885,"const: 35.1398, TTLCONS: 0.0001, CPIAUCSL: -0.7585, PPIACO: 1.0476, SP500: 0.0140"
"TTLCONS, CPIAUCSL, PPIACO, DJIA",0.7487819256110173,0.746492922655309,3.3852670033520075e-130,4433.101183560588,4453.580306372749,"const: 38.6218, TTLCONS: 0.0001, CPIAUCSL: -0.8435, PPIACO: 1.1129, DJIA: 0.0017"
"TTLCONS, CPIAUCSL, NASDAQCOM, REVOLSL",0.7354740771693303,0.7330638181913743,2.769887035407298e-125,4456.019517497014,4476.498640309175,"const: 22.0278, TTLCONS: 0.0000, CPIAUCSL: 0.1125, NASDAQCOM: 0.0078, REVOLSL: 0.0551"
"TTLCONS, CPIAUCSL, NASDAQCOM, SP500",0.7343953125688225,0.7319752243006569,6.757625593872305e-125,4457.826514242605,4478.3056370547665,"const: 14.3703, TTLCONS: 0.0000, CPIAUCSL: 0.3029, NASDAQCOM: 0.0038, SP500: 0.0084"
"TTLCONS, CPIAUCSL, NASDAQCOM, DJIA",0.7341206377088361,0.7316980467084611,8.475488152703835e-125,4458.285439204719,4478.7645620168805,"const: 15.1920, TTLCONS: 0.0000, CPIAUCSL: 0.2939, NASDAQCOM: 0.0041, DJIA: 0.0009"
"TTLCONS, CPIAUCSL, REVOLSL, SP500",0.7462606634750142,0.7439486877435793,3.0205804287871033e-129,4437.535021610963,4458.014144423124,"const: 38.0114, TTLCONS: 0.0000, CPIAUCSL: -0.0424, REVOLSL: 0.1017, SP500: 0.0211"
"TTLCONS, CPIAUCSL, REVOLSL, DJIA",0.7421417436782412,0.7397922379258789,1.0297169862152493e-127,4444.684546672127,4465.163669484288,"const: 35.7081, TTLCONS: 0.0000, CPIAUCSL: -0.0134, REVOLSL: 0.0908, DJIA: 0.0024"
"TTLCONS, CPIAUCSL, SP500, DJIA",0.7301938472306826,0.7277354768182058,2.1059828597490723e-123,4464.794953287421,4485.274076099582,"const: 8.1442, TTLCONS: 0.0001, CPIAUCSL: 0.3629, SP500: 0.0344, DJIA: -0.0024"
"TTLCONS, PCESV, RSAFS, PPIACO",0.7413047544013316,0.7389476223229838,2.0948663485730693e-127,4446.1234046521695,4466.602527464331,"const: -41.4028, TTLCONS: 0.0001, PCESV: 0.0082, RSAFS: -0.0003, PPIACO: 0.7513"
"TTLCONS, PCESV, RSAFS, NASDAQCOM",0.7393425074504452,0.7369674961288091,1.0973871930583197e-126,4449.478510836976,4469.957633649137,"const: 35.7839, TTLCONS: 0.0001, PCESV: 0.0080, RSAFS: -0.0002, NASDAQCOM: 0.0059"
"TTLCONS, PCESV, RSAFS, REVOLSL",0.717037832340724,0.7144595893552181,7.146695286185924e-119,4485.93355223245,4506.412675044611,"const: 25.0534, TTLCONS: 0.0001, PCESV: 0.0132, RSAFS: -0.0002, REVOLSL: -0.0260"
"TTLCONS, PCESV, RSAFS, SP500",0.7485864763844603,0.7462956925701957,4.014365386287731e-130,4433.446484020446,4453.925606832608,"const: 38.4406, TTLCONS: 0.0001, PCESV: 0.0097, RSAFS: -0.0002, SP500: 0.0140"
"TTLCONS, PCESV, RSAFS, DJIA",0.7459648979897112,0.7436502273563601,3.8991601610038123e-129,4438.052258716101,4458.5313815282625,"const: 38.1573, TTLCONS: 0.0001, PCESV: 0.0095, RSAFS: -0.0002, DJIA: 0.0016"
"TTLCONS, PCESV, PPIACO, NASDAQCOM",0.7397562760658197,0.7373850348454627,7.747431088976666e-127,4448.773143684621,4469.252266496782,"const: 6.9526, TTLCONS: 0.0000, PCESV: 0.0019, PPIACO: 0.3538, NASDAQCOM: 0.0058"
"TTLCONS, PCESV, PPIACO, REVOLSL",0.7186950103475984,0.7161318669339092,1.9731975142515258e-119,4483.325606187873,4503.804729000034,"const: -4.2538, TTLCONS: 0.0001, PCESV: 0.0072, PPIACO: 0.3728, REVOLSL: -0.0323"
"TTLCONS, PCESV, PPIACO, SP500",0.7442546724961352,0.7419244189425692,1.6966736364800493e-128,4441.031356868804,4461.510479680966,"const: 12.2518, TTLCONS: 0.0000, PCESV: 0.0038, PPIACO: 0.3068, SP500: 0.0128"
"TTLCONS, PCESV, PPIACO, DJIA",0.7429106443237813,0.7405681444998522,5.351619965598348e-128,4443.3586170731505,4463.837739885312,"const: 10.6553, TTLCONS: 0.0000, PCESV: 0.0034, PPIACO: 0.3259, DJIA: 0.0015"
"TTLCONS, PCESV, NASDAQCOM, REVOLSL",0.7354335409711481,0.733022912642867,2.8644763739537224e-125,4456.087551256884,4476.566674069045,"const: 32.5491, TTLCONS: 0.0000, PCESV: 0.0019, NASDAQCOM: 0.0075, REVOLSL: 0.0506"
"TTLCONS, PCESV, NASDAQCOM, SP500",0.7393122994097349,0.7369370128439922,1.1256135014280892e-126,4449.529963771681,4470.009086583842,"const: 39.2088, TTLCONS: 0.0001, PCESV: 0.0059, NASDAQCOM: 0.0019, SP500: 0.0104"
"TTLCONS, PCESV, NASDAQCOM, DJIA",0.7381506413800185,0.7357647702308615,2.982353681654991e-126,4451.504089839102,4471.983212651263,"const: 39.4415, TTLCONS: 0.0001, PCESV: 0.0055, NASDAQCOM: 0.0025, DJIA: 0.0011"
"TTLCONS, PCESV, REVOLSL, SP500",0.746776831647814,0.7444695590432383,1.933176530801109e-129,4436.630896569324,4457.1100193814855,"const: 32.9481, TTLCONS: 0.0000, PCESV: 0.0018, REVOLSL: 0.0817, SP500: 0.0192"
"TTLCONS, PCESV, REVOLSL, DJIA",0.7429287957297521,0.7405864612944879,5.269447838784422e-128,4443.327268016525,4463.806390828686,"const: 33.3860, TTLCONS: 0.0000, PCESV: 0.0021, REVOLSL: 0.0718, DJIA: 0.0022"
"TTLCONS, PCESV, SP500, DJIA",0.7416633842638288,0.7393095198835449,1.5456831096421137e-127,4445.507459305689,4465.98658211785,"const: 36.3549, TTLCONS: 0.0001, PCESV: 0.0078, SP500: 0.0601, DJIA: -0.0057"
"TTLCONS, RSAFS, PPIACO, NASDAQCOM",0.7612865028559264,0.759111436822723,4.672721995428604e-135,4410.431738780855,4430.910861593016,"const: -29.4506, TTLCONS: 0.0001, RSAFS: -0.0003, PPIACO: 0.8532, NASDAQCOM: 0.0068"
"TTLCONS, RSAFS, PPIACO, REVOLSL",0.7241444133016619,0.7216309227622693,2.7141570658846536e-121,4474.640095508075,4495.1192183202365,"const: -53.4350, TTLCONS: 0.0001, RSAFS: -0.0003, PPIACO: 0.9842, REVOLSL: 0.0039"
"TTLCONS, RSAFS, PPIACO, SP500",0.7633910926007181,0.7612352027838682,6.7079526909893014e-136,4406.4999066422515,4426.979029454413,"const: -28.6496, TTLCONS: 0.0001, RSAFS: -0.0003, PPIACO: 0.8908, SP500: 0.0150"
"TTLCONS, RSAFS, PPIACO, DJIA",0.7636375458005931,0.7614839015709858,5.338064029656815e-136,4406.037192661945,4426.516315474106,"const: -29.5261, TTLCONS: 0.0001, RSAFS: -0.0003, PPIACO: 0.8994, DJIA: 0.0018"
"TTLCONS, RSAFS, NASDAQCOM, REVOLSL",0.740404540099477,0.7380392056129119,4.4851765536583685e-127,4447.665765137184,4468.1448879493455,"const: 33.9450, TTLCONS: 0.0001, RSAFS: -0.0001, NASDAQCOM: 0.0092, REVOLSL: 0.0828"
"TTLCONS, RSAFS, NASDAQCOM, SP500",0.7287839381820946,0.7263127212179223,6.598895647864618e-123,4467.109094991087,4487.588217803248,"const: 52.4588, TTLCONS: 0.0001, RSAFS: -0.0000, NASDAQCOM: 0.0047, SP500: 0.0089"
"TTLCONS, RSAFS, NASDAQCOM, DJIA",0.7290069468385578,0.7265377618439206,5.5104552015259776e-123,4466.7438637682335,4487.222986580395,"const: 52.4442, TTLCONS: 0.0001, RSAFS: -0.0001, NASDAQCOM: 0.0048, DJIA: 0.0011"
"TTLCONS, RSAFS, REVOLSL, SP500",0.7555866201112891,0.7533596189277929,8.236863981963416e-133,4420.908760397288,4441.387883209449,"const: 34.4712, TTLCONS: 0.0001, RSAFS: -0.0002, REVOLSL: 0.1262, SP500: 0.0240"
"TTLCONS, RSAFS, REVOLSL, DJIA",0.7504401124739929,0.748166218282412,7.929459935703413e-131,4430.1608079294265,4450.639930741588,"const: 35.1712, TTLCONS: 0.0001, RSAFS: -0.0002, REVOLSL: 0.1155, DJIA: 0.0027"
"TTLCONS, RSAFS, SP500, DJIA",0.7213244292020818,0.7187852440467477,2.520623052988804e-120,4479.155923759182,4499.635046571343,"const: 52.7258, TTLCONS: 0.0001, RSAFS: -0.0000, SP500: 0.0199, DJIA: -0.0004"
"TTLCONS, PPIACO, NASDAQCOM, REVOLSL",0.7423177871748609,0.7399698854634701,8.865770710788235e-128,4444.38131804037,4464.860440852532,"const: 6.4148, TTLCONS: 0.0000, PPIACO: 0.3187, NASDAQCOM: 0.0069, REVOLSL: 0.0385"
"TTLCONS, PPIACO, NASDAQCOM, SP500",0.7439889105160724,0.7416562354410481,2.1303649237447385e-128,4441.492507235809,4461.97163004797,"const: 8.2587, TTLCONS: 0.0000, PPIACO: 0.4146, NASDAQCOM: 0.0032, SP500: 0.0084"
"TTLCONS, PPIACO, NASDAQCOM, DJIA",0.7440169172345537,0.7416844973460301,2.079893849483337e-128,4441.443932530501,4461.923055342662,"const: 8.2302, TTLCONS: 0.0000, PPIACO: 0.4133, NASDAQCOM: 0.0034, DJIA: 0.0010"
"TTLCONS, PPIACO, REVOLSL, SP500",0.7506932098896208,0.7484216218248338,6.348354949904214e-131,4429.710285706884,4450.189408519045,"const: 12.2643, TTLCONS: 0.0000, PPIACO: 0.2526, REVOLSL: 0.0723, SP500: 0.0181"
"TTLCONS, PPIACO, REVOLSL, DJIA",0.7479961266852655,0.7456999638304616,6.712045717247722e-130,4434.487828194062,4454.966951006223,"const: 10.1321, TTLCONS: 0.0000, PPIACO: 0.2845, REVOLSL: 0.0625, DJIA: 0.0021"
"TTLCONS, PPIACO, SP500, DJIA",0.7405832381037801,0.7382195318450446,3.856917263740369e-127,4447.360023138388,4467.839145950549,"const: 5.3832, TTLCONS: 0.0001, PPIACO: 0.4493, SP500: 0.0182, DJIA: -0.0005"
"TTLCONS, NASDAQCOM, REVOLSL, SP500",0.7492369864846957,0.7469521298695221,2.2752044500363616e-130,4432.296184774264,4452.775307586425,"const: 34.2367, TTLCONS: 0.0000, NASDAQCOM: 0.0030, REVOLSL: 0.0911, SP500: 0.0152"
"TTLCONS, NASDAQCOM, REVOLSL, DJIA",0.7471601654297712,0.7448563856159194,1.386995351634718e-129,4435.958252132728,4456.43737494489,"const: 34.7854, TTLCONS: 0.0000, NASDAQCOM: 0.0037, REVOLSL: 0.0843, DJIA: 0.0016"
"TTLCONS, NASDAQCOM, SP500, DJIA",0.7280169925739728,0.7255387874949202,1.2251921046656032e-122,4468.362867670616,4488.841990482777,"const: 50.6545, TTLCONS: 0.0001, NASDAQCOM: 0.0046, SP500: -0.0003, DJIA: 0.0011"
"TTLCONS, REVOLSL, SP500, DJIA",0.7511182240187388,0.7488505085200485,4.3677105714895257e-131,4428.952715855012,4449.431838667173,"const: 31.2210, TTLCONS: 0.0000, REVOLSL: 0.1146, SP500: 0.0790, DJIA: -0.0069"
"CPIAUCSL, PCESV, RSAFS, PPIACO",0.6854637173060287,0.6825977830673593,8.298994799204032e-109,4532.90263845847,4553.381761270632,"const: -3.5221, CPIAUCSL: -0.1763, PCESV: 0.0085, RSAFS: 0.0001, PPIACO: 0.5185"
"CPIAUCSL, PCESV, RSAFS, NASDAQCOM",0.7159541386825781,0.7133660214951756,1.651363742920266e-118,4487.630743614232,4508.109866426394,"const: -12.8360, CPIAUCSL: 0.5111, PCESV: 0.0031, RSAFS: 0.0000, NASDAQCOM: 0.0071"
"CPIAUCSL, PCESV, RSAFS, REVOLSL",0.6812327291420386,0.678328243758367,1.5491990168320805e-107,4538.835296451094,4559.314419263255,"const: -17.2135, CPIAUCSL: 0.3503, PCESV: 0.0080, RSAFS: 0.0001, REVOLSL: 0.0189"
"CPIAUCSL, PCESV, RSAFS, SP500",0.7181690613480479,0.715601125688349,2.9711183352372e-119,4484.154966958382,4504.634089770543,"const: -1.0521, CPIAUCSL: 0.4021, PCESV: 0.0060, RSAFS: 0.0000, SP500: 0.0150"
"CPIAUCSL, PCESV, RSAFS, DJIA",0.7149819229806879,0.712384947335865,3.491251473732402e-118,4489.14784621919,4509.626969031351,"const: -1.0271, CPIAUCSL: 0.3985, PCESV: 0.0057, RSAFS: 0.0000, DJIA: 0.0017"
"CPIAUCSL, PCESV, PPIACO, NASDAQCOM",0.7184915370460412,0.7159265396614949,2.3119356849830969e-119,4483.646643822667,4504.125766634828,"const: -15.7685, CPIAUCSL: 0.2570, PCESV: 0.0032, PPIACO: 0.3497, NASDAQCOM: 0.0072"
"CPIAUCSL, PCESV, PPIACO, REVOLSL",0.683923265704307,0.6810432954601549,2.4198336367024896e-108,4535.0718352659715,4555.550958078133,"const: -33.7625, CPIAUCSL: 0.0600, PCESV: 0.0075, PPIACO: 0.5078, REVOLSL: 0.0435"
"CPIAUCSL, PCESV, PPIACO, SP500",0.7205968298734517,0.7180510151114787,4.463142426506248e-120,4480.313661050581,4500.792783862742,"const: -9.0173, CPIAUCSL: 0.1886, PCESV: 0.0061, PPIACO: 0.3623, SP500: 0.0153"
"CPIAUCSL, PCESV, PPIACO, DJIA",0.7178504158010437,0.7152795767650624,3.8058135379172947e-119,4484.656681582173,4505.135804394335,"const: -11.1311, CPIAUCSL: 0.1742, PCESV: 0.0058, PPIACO: 0.4039, DJIA: 0.0018"
"CPIAUCSL, PCESV, NASDAQCOM, REVOLSL",0.7315683203592862,0.7291224736199631,6.8769813557043946e-124,4462.527303713559,4483.006426525721,"const: 10.7507, CPIAUCSL: 0.2034, PCESV: -0.0010, NASDAQCOM: 0.0090, REVOLSL: 0.0827"
"CPIAUCSL, PCESV, NASDAQCOM, SP500",0.7217801368371266,0.7192451039153692,1.7610317468924652e-120,4478.429273035246,4498.9083958474075,"const: -9.2457, CPIAUCSL: 0.5038, PCESV: 0.0042, NASDAQCOM: 0.0037, SP500: 0.0093"
"CPIAUCSL, PCESV, NASDAQCOM, DJIA",0.7205804663671003,0.7180345025071194,4.52078376026102e-120,4480.339663561836,4500.818786373997,"const: -10.5199, CPIAUCSL: 0.5177, PCESV: 0.0037, NASDAQCOM: 0.0044, DJIA: 0.0010"
"CPIAUCSL, PCESV, REVOLSL, SP500",0.7448442760725533,0.7425193947611415,1.0230926841520882e-128,4440.0065631111365,4460.485685923298,"const: 34.6183, CPIAUCSL: -0.0317, PCESV: 0.0010, REVOLSL: 0.1159, SP500: 0.0222"
"CPIAUCSL, PCESV, REVOLSL, DJIA",0.7393542735718472,0.7369793694586066,1.0865846222553129e-126,4449.458468152745,4469.937590964906,"const: 29.5474, CPIAUCSL: 0.0201, PCESV: 0.0008, REVOLSL: 0.1111, DJIA: 0.0026"
"CPIAUCSL, PCESV, SP500, DJIA",0.7244881741749649,0.7219778158530967,2.0652470045108126e-121,4474.0864543459165,4494.565577158078,"const: -6.2770, CPIAUCSL: 0.4298, PCESV: 0.0079, SP500: 0.0801, DJIA: -0.0079"
"CPIAUCSL, RSAFS, PPIACO, NASDAQCOM",0.717196951884033,0.7146201587349126,6.318003639721952e-119,4485.683805245107,4506.162928057268,"const: -11.6455, CPIAUCSL: 0.2037, RSAFS: 0.0000, PPIACO: 0.4090, NASDAQCOM: 0.0077"
"CPIAUCSL, RSAFS, PPIACO, REVOLSL",0.6764364380600854,0.6734882507075577,4.080473667691487e-106,4545.4661250260415,4565.945247838203,"const: -23.0352, CPIAUCSL: -0.1701, RSAFS: 0.0001, PPIACO: 0.7134, REVOLSL: 0.0569"
"CPIAUCSL, RSAFS, PPIACO, SP500",0.7139835104522909,0.7113774376545897,7.511477378128295e-118,4490.700451403816,4511.1795742159775,"const: -9.3019, CPIAUCSL: 0.1767, RSAFS: 0.0001, PPIACO: 0.4564, SP500: 0.0161"
"CPIAUCSL, RSAFS, PPIACO, DJIA",0.7127876933740912,0.7101707247487982,1.873829353433665e-117,4492.552917841164,4513.032040653326,"const: -5.7715, CPIAUCSL: 0.0894, RSAFS: 0.0001, PPIACO: 0.5184, DJIA: 0.0019"
"CPIAUCSL, RSAFS, NASDAQCOM, REVOLSL",0.7333367575524445,0.7309070241360659,1.6156240165190782e-124,4459.592538534255,4480.0716613464165,"const: -5.5747, CPIAUCSL: 0.3475, RSAFS: -0.0001, NASDAQCOM: 0.0093, REVOLSL: 0.0894"
"CPIAUCSL, RSAFS, NASDAQCOM, SP500",0.7184906803232549,0.7159256751325784,2.3134778550530995e-119,4483.647995058556,4504.1271178707175,"const: -18.3773, CPIAUCSL: 0.6388, RSAFS: 0.0000, NASDAQCOM: 0.0050, SP500: 0.0079"
"CPIAUCSL, RSAFS, NASDAQCOM, DJIA",0.717955362554552,0.7153854797532266,3.5078940826697163e-119,4484.491503147842,4504.970625960003,"const: -17.5114, CPIAUCSL: 0.6283, RSAFS: 0.0000, NASDAQCOM: 0.0053, DJIA: 0.0009"
"CPIAUCSL, RSAFS, REVOLSL, SP500",0.7482768999458125,0.74598329538951,5.257111865400878e-130,4433.992864266444,4454.471987078605,"const: 10.5220, CPIAUCSL: 0.1994, RSAFS: -0.0001, REVOLSL: 0.1376, SP500: 0.0245"
"CPIAUCSL, RSAFS, REVOLSL, DJIA",0.7415341023159273,0.7391790599680086,1.724801152636377e-127,4445.729599038275,4466.208721850437,"const: 10.0961, CPIAUCSL: 0.2067, RSAFS: -0.0001, REVOLSL: 0.1275, DJIA: 0.0028"
"CPIAUCSL, RSAFS, SP500, DJIA",0.7121622556499236,0.7095395882754354,3.017952411371207e-117,4493.51872754262,4513.997850354781,"const: -26.7101, CPIAUCSL: 0.7186, RSAFS: 0.0000, SP500: 0.0519, DJIA: -0.0043"
"CPIAUCSL, PPIACO, NASDAQCOM, REVOLSL",0.7423588337749585,0.7400113060644797,8.561586823816149e-128,4444.31058695685,4464.789709769011,"const: 25.4281, CPIAUCSL: -0.6084, PPIACO: 0.7681, NASDAQCOM: 0.0091, REVOLSL: 0.1031"
"CPIAUCSL, PPIACO, NASDAQCOM, SP500",0.7210894005951716,0.7185480739491139,3.0320093176473192e-120,4479.530225394426,4500.009348206588,"const: -20.9398, CPIAUCSL: 0.3792, PPIACO: 0.3529, NASDAQCOM: 0.0051, SP500: 0.0080"
"CPIAUCSL, PPIACO, NASDAQCOM, DJIA",0.7208581991083498,0.7183147658428222,3.6356389850055334e-120,4479.8981244159795,4500.377247228141,"const: -20.4088, CPIAUCSL: 0.3559, PPIACO: 0.3745, NASDAQCOM: 0.0053, DJIA: 0.0009"
"CPIAUCSL, PPIACO, REVOLSL, SP500",0.762904461850284,0.7607441380402639,1.0523800137407488e-135,4407.412138440912,4427.891261253073,"const: 55.8893, CPIAUCSL: -1.0927, PPIACO: 1.0045, REVOLSL: 0.1565, SP500: 0.0248"
"CPIAUCSL, PPIACO, REVOLSL, DJIA",0.7593711654654407,0.7571786476109117,2.693391015569528e-134,4413.979993425304,4434.459116237465,"const: 53.8220, CPIAUCSL: -1.1179, PPIACO: 1.0613, REVOLSL: 0.1535, DJIA: 0.0029"
"CPIAUCSL, PPIACO, SP500, DJIA",0.7133556779011173,0.7107438845334737,1.2144212279449494e-117,4491.67400419017,4512.1531270023315,"const: -33.0107, CPIAUCSL: 0.5628, PPIACO: 0.2724, SP500: 0.0445, DJIA: -0.0034"
"CPIAUCSL, NASDAQCOM, REVOLSL, SP500",0.7481577460466526,0.7458630558056198,5.831649697861603e-130,4434.202983297839,4454.68210611,"const: 35.8480, CPIAUCSL: -0.0298, NASDAQCOM: 0.0032, REVOLSL: 0.1125, SP500: 0.0167"
"CPIAUCSL, NASDAQCOM, REVOLSL, DJIA",0.745371276714144,0.7430511972309016,6.50318658901274e-129,4439.088573676589,4459.56769648875,"const: 33.3273, CPIAUCSL: -0.0026, NASDAQCOM: 0.0041, REVOLSL: 0.1066, DJIA: 0.0017"
"CPIAUCSL, NASDAQCOM, SP500, DJIA",0.7190573217747822,0.7164974796041652,1.4877505361514804e-119,4482.753380440656,4503.232503252817,"const: -23.5004, CPIAUCSL: 0.6886, NASDAQCOM: 0.0047, SP500: 0.0282, DJIA: -0.0024"
"CPIAUCSL, REVOLSL, SP500, DJIA",0.7510384454265066,0.7487700030158142,4.685545951271488e-131,4429.095016426618,4449.574139238779,"const: 35.0872, CPIAUCSL: -0.0456, REVOLSL: 0.1281, SP500: 0.0844, DJIA: -0.0074"
"PCESV, RSAFS, PPIACO, NASDAQCOM",0.7191909952076188,0.7166323710181666,1.3404244574053276e-119,4482.542073533729,4503.0211963458905,"const: 1.4673, PCESV: 0.0034, RSAFS: 0.0001, PPIACO: 0.4509, NASDAQCOM: 0.0070"
"PCESV, RSAFS, PPIACO, REVOLSL",0.6870665734514635,0.6842152438245976,2.7102403834542018e-109,4530.634259073595,4551.113381885756,"const: -18.0479, PCESV: 0.0071, RSAFS: 0.0001, PPIACO: 0.4250, REVOLSL: 0.0277"
"PCESV, RSAFS, PPIACO, SP500",0.7220341920073396,0.7195014739390694,1.4415553029168307e-120,4478.023651282405,4498.502774094566,"const: 6.2053, PCESV: 0.0058, RSAFS: 0.0001, PPIACO: 0.4048, SP500: 0.0148"
"PCESV, RSAFS, PPIACO, DJIA",0.7197462606261628,0.7171926958027109,8.687404954686258e-120,4481.663248736015,4502.142371548176,"const: 4.4435, PCESV: 0.0054, RSAFS: 0.0001, PPIACO: 0.4246, DJIA: 0.0017"
